name,nombre_oficial,clean_category,domain,n_utopias_with_category,rarity_score,infra_score,distinctiveness_weight
meyehualco,Utopia Meyehualco,Velodrome,Team Sports & Athletics,1,0.9230769230769231,3,2.769230769230769
meyehualco,Utopia Meyehualco,Rehabilitation Center,Wellness & Therapy,5,0.6153846153846154,2,1.2307692307692308
olini,Utopia Olini,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
olini,Utopia Olini,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
olini,Utopia Olini,Skatepark,Combat & Extreme Sports,4,0.6923076923076923,2,1.3846153846153846
olini,Utopia Olini,Geodesic Domes,Fitness,1,0.9230769230769231,2,1.8461538461538463
olini,Utopia Olini,Guided Athletic Training,Fitness,3,0.7692307692307692,1,0.7692307692307692
olini,Utopia Olini,Rhythmic / Artistic Gymnastics,Fitness,1,0.9230769230769231,1,0.9230769230769231
olini,Utopia Olini,Skating Programs,Fitness,1,0.9230769230769231,1,0.9230769230769231
olini,Utopia Olini,Ice Rink,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
olini,Utopia Olini,Wave Pool,Landmark Attraction,1,0.9230769230769231,3,2.769230769230769
olini,Utopia Olini,Artificial Lake,Nature & Biodiversity,3,0.7692307692307692,2,1.5384615384615383
olini,Utopia Olini,Arts Workshops,Performing Arts & Culture,4,0.6923076923076923,1,0.6923076923076923
olini,Utopia Olini,Open-Air Stage,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
olini,Utopia Olini,Hockey,Team Sports & Athletics,1,0.9230769230769231,2,1.8461538461538463
olini,Utopia Olini,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
papalotl,Utopia Papalotl,Splash Pad & Water Play,Aquatics,4,0.6923076923076923,1,0.6923076923076923
papalotl,Utopia Papalotl,Swimming Classes,Aquatics,10,0.23076923076923073,1,0.23076923076923073
papalotl,Utopia Papalotl,Swimming Pool,Aquatics,10,0.23076923076923073,2,0.46153846153846145
papalotl,Utopia Papalotl,Boxing Gym / School,Combat & Extreme Sports,7,0.46153846153846156,2,0.9230769230769231
papalotl,Utopia Papalotl,Outdoor Gym,Fitness,5,0.6153846153846154,1,0.6153846153846154
papalotl,Utopia Papalotl,Butterfly House,Nature & Biodiversity,2,0.8461538461538461,2,1.6923076923076923
papalotl,Utopia Papalotl,Orchid Garden,Nature & Biodiversity,1,0.9230769230769231,2,1.8461538461538463
papalotl,Utopia Papalotl,Arts Workshops,Performing Arts & Culture,4,0.6923076923076923,1,0.6923076923076923
papalotl,Utopia Papalotl,Auditorium,Performing Arts & Culture,8,0.3846153846153846,2,0.7692307692307692
papalotl,Utopia Papalotl,Dance School,Performing Arts & Culture,7,0.46153846153846156,1,0.46153846153846156
papalotl,Utopia Papalotl,Film School / Cinema Space,Performing Arts & Culture,2,0.8461538461538461,2,1.6923076923076923
papalotl,Utopia Papalotl,Running Track,Team Sports & Athletics,7,0.46153846153846156,1,0.46153846153846156
papalotl,Utopia Papalotl,Yoga,Wellness & Therapy,5,0.6153846153846154,1,0.6153846153846154
